id,codigo,nombre
17,1,Pasajes y Transportes
18,2,"Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos"
19,3,Adquisición y Locación de inmuebles. Alquiler de muebles
20,4,Capacitaciones y Adiestramientos
21,5,"Consultorías, Asesorías e Investigaciones. Estudios y Proyectos de inversión"
22,6,Seguros
23,7,Servicios Técnicos
24,8,Publicidad y Propaganda
25,9,"Servicios de ceremonial, gastronomico y funerarios"
26,10,"Textiles, vestuarios y calzados"
27,11,"Utiles de oficina, Productos de papel y cartón e impresos"
28,12,Elementos e insumos de limpieza
29,13,"Utensilios de cocina y comedor, Productos de Porcelana, vidrio y loza"
30,14,Productos Alimenticios
31,15,Combustibles y Lubricantes
32,16,Productos quimicos
33,17,"Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud"
34,18,"Materiales e insumos eléctricos, metálicos y no metálicos, Plásticos, cauchos. Repuestos, herramientas, cámaras y cubiertas."
35,19,Bienes e insumos agropecuario y forestal
36,20,Minerales
37,21,"Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles"
38,22,"Maquinarias, Equipos y herramientas mayores - Equipos de transporte"
39,23,Muebles y Enseres
40,24,"Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento"
41,25,Equipos Militares y de Seguridad. Servicio de Seguridad y Vigilancia
42,26,(Todas las categorías)
