Código,Descripción
10101502,Perros
10101506,Caballos
10101507,Ovejas
10101508,Cabras
10101511,Cerdos
10101512,Conejos
10101516,Vacas
10101601,Pollos vivos
10101602,Patos vivos
10101702,Peces varios
10111304,Equipo o cuencos de comida de los animales domesticos
10111306,Equipos de Captura / Adiestramiento de animales domesticos
10121502,Avena para pienso
10121503,Maiz para pienso
10121505,Heno o Forraje
10121602,Alpiste
10121604,Alimentos y Suplementos para aves
10121702,Alimento granulado para peces
10121801,Alimento seco para perros y gatos
10121901,Alimento granulado para roedores
10122101,Comida para cerdos
10122102,Comida para animales varios
10122103,Comida para monos
10131506,Establos para ganado
10131601,Jaulas o accesorios
10141501,Sillas de montar y accesorios
10141601,Bridas
10141603,Bocados para caballos
10141604,Riendas
10141605,Estribos
10141606,Correas o traillas
10141607,Collares para animales
10141608,Arneses o accesorios
10141609,Sujeciones
10141610,Bozales
10151502,Semillas o plantulas de zanahoria
10151503,Semillas o plantulas de apio
10151504,Semillas o plantulas de chile
10151506,Semillas o plantulas de guisante
10151507,Semillas o plantulas de pepino
10151508,Semillas o plantulas de berenjena
10151510,Semillas o plantulas de ajo
10151512,Semillas o plantulas de lechuga
10151513,Semillas o plantulas de maiz
10151514,Semillas o plantulas de melon
10151515,Semillas o plantulas de cebolla
10151516,Semillas o plantulas de soja
10151517,Semillas o plantulas de espinaca
10151518,Semillas o plantulas de tomate
10151519,Semillas o plantulas de nabo
10151520,Semillas o plantulas de acelga
10151522,Semillas o plantas de remolacha
10151523,Semillas o plantas de coliflor
10151524,Semillas o plantas de perejil
10151525,Semillas o plantulas de brócoli
10151526,Semillas o plantulas de repollo
10151527,Semillas o plantulas de patata
10151528,Semillas o plantulas de locote
10151529,Semillas o plantulas de calabaza
10151530,Semillas o plantulas de rabano
10151532,Semillas o plantulas de sandía
10151535,Semillas o plantulas de cacahuete
10151595,Plantines de menta
10151596,Plantines de ruda
10151597,Plantines medicinales
10151598,Plantines de ajenjo
10151599,Plantines de toronjil
10151604,Semillas de mijo
10151605,Semillas de avena
10151606,Semillas de sesamo
10151607,Semillas de lino
10151608,Semillas de tártago - aceite de ricino
10151609,Semillas de maiz
10151611,Semillas de sorgo
10151701,Semillas o plantulas de arroz
10151703,Semillas o plantulas de alfalfa
10151704,Semillas o plantulas de hierba y pasto
10151706,Semillas o plantulas varios
10151801,Semillas o plantulas de pimienta
10151805,Semillas o plantulas de culantro
10151807,Semillas o plantulas de azafran
10151904,Semillas de girasol
10151905,Semillas de flores varias
10151906,Bulbos de lirios
10152001,Semillas o esquejes de arboles frutales
10152002,Semillas o esquejes de coniferas o arboles varios sin frutos
10152003,Semillas o esquejes de arboles de frutos secos
10152201,Semillas o plantas de algodon
10161507,Arbustos Ornamentales
10161513,Palmeras
10161603,Plantas Perennes
10161705,Rosas cortadas
10161707,Plantas-flores ornamentales
10161801,Helechos
10161802,Hiedra
10171502,Hormonas para plantas
10171504,Abonos
10171604,Abono y fertilizante
10171605,Mezclas NPK (nitrogeno
10171701,Herbicidas
10171702,Fungicidas
10191506,Raticidas
10191507,Repelentes para pajaros
10191508,Veneno para termitas
10191509,Insecticidas
10191701,Trampas para control de animales
10191703,Interceptor de control para insectos volantes
10191704,Matamoscas
11101505,Azufre
11101506,Yeso
11101507,Grafito
11101510,Amianto o asbesto
11101512,Borato
11101518,Talco
11101522,Carbon activado
11101601,Mineral de hierro
11101707,Magnesio
11101713,Hierro
11101714,Plomo
11101716,Estano
11101719,Cinc
11111501,Tierra y piedra
11111601,Yeso
11111604,Granito
11111605,Marmol
11111608,Piedra caliza
11111610,Piedra pomez
11111803,Caolin u otras arcillas caolinicas
11111804,Bentonita
11121608,Bambu
11121702,Astillas de madera o lena
11121705,Corteza
11121802,Algodon
11131504,Cuero
11131602,Semen
11131607,Embriones
11151512,Fibras de vidrio
11151608,Hebra de nylon
11151701,Hilo de lana
11151702,Hilo de algodon
11151703,Hilo de poliester
11151705,Hilo de seda
11151709,Tejido sintetico
11151710,Tejidos varios
11151713,Tejido de canamo
11151715,Tejido de lino
11161501,Tejido tafetan
11161503,Tejidos de seda de punto
11161701,Tejidos de algodon en tafetan
11161804,Tejidos de punto sinteticos
11162003,Arpillera o canamo o tela de yute
11162108,Tejido o tela de malla metalica
11162109,Encaje
11162111,Malla
11162121,Telas varias
11162127,Tela de camuflaje
11162130,Dosel
11162307,Cuero sintetico o de imitacion
11191599,Cuerpos solidos de metal
12131501,Dinamita
12131502,Cartuchos explosivos
12131503,Explosivos propulsores
12131504,Cargas explosivas
12131505,Explosivos plasticos
12131506,Explosivos aluminados
12131507,Explosivos de nitrato de amonio
12131508,Productos para explosivos varios
12131601,Fuegos artificiales
12131604,Bengalas
12131605,Materiales pirotecnicos para teatro y television
12131701,Capsulas de voladura
12131702,Detonadores
12131703,Fusibles para explosivos
12131704,Iniciadores de explosivos
12131706,Cerillas
12131707,Encendedores
12131708,Caja de fulminante
12131801,Propulsores en polvo
12141502,Magnesio Mg
12141721,Hierro Fe
12141726,Mercurio Hg
12141734,Platino Pt
12141750,Cinc Zn
12141804,Potasio K
12141806,Sodio Na
12141901,Cloro Cl
12141902,Hidrogeno H
12141903,Nitrogeno 
12141904,Oxigeno 
12141907,Boro B
12141908,Carbono C
12141910,Selenio Se
12141911,Silicio Si
12141912,Azufre S
12141915,Bromo Br
12141916,Yodo 
12142004,Gas argon y gases especiales
12142005,Gas Helio He
12142101,Gases compuestos de hidrogeno
12142102,Gases mezclados 
12142103,Amoniaco
12142104,Gas dioxido de carbono CO2
12161601,Catalizadores de acido
12161704,Tampones acidos
12161801,Geles
12161802,Suspensiones
12161804,Emulsiones
12161901,Agentes anti-espumosos
12161902,Detergentes surfactantes
12161904,Agentes de dispersar
12162201,Acido ascorbico
12162204,Hidroxitolueno butilado
12163201,Aditivos varios
12164001,Bactericidas
12164102,Aditivos acidos
12164201,Retardadores
12164501,Conservantes
12164502,Esencias o extractos
12164503,Aditivos de Alimentos
12164504,Edulcorantes
12171503,Tintes rosanilinas
12171504,Colorantes FDC seguros para alimentos
12171604,Dioxido de titanio
12171703,Tintas
12181502,Ceras naturales
12181503,Parafinas
12181601,Aceites sinteticas
12181602,Aceites naturales
12191501,Solventes aromaticos
12191503,Fenoles o sus sustitutos o derivados
12191601,Solventes de alcohol
12191602,Solventes activos
12352005,Compuestos aromaticos o heterociclicos
12352101,Compuestos organicos halogenados
12352102,Compuestos organicos nitrados o nitrosados
12352104,Alcoholes o sus sustitutos
12352106,acidos organicos o sus sustitutos
12352107,Sales organicas o sus sustitutas
12352108,esteres o sus sustitutos
12352111,Amidas o imidas
12352112,Eteres o sus sustitutos
12352114,Aldehidos o sus sustitutos
12352115,Cetonas o quininas o sus sustitutos
12352116,Aminas o iminas o sus sustitutos
12352117,Cianuros o isocianuros
12352129,Amidinas o imidinas
12352201,Carbohidratos o sus derivados
12352202,Proteinas
12352204,Enzimas
12352209,Aminoacidos o sus derivados
12352211,Grasas o lipidos
12352301,acidos inorganicos
12352302,Sales metalicas inorganicas
12352303,oxidos inorganicos
12352304,Peroxidos inorganicos
12352305,Hidroxidos inorganicos
12352308,Silicatos
12352309,Silice
12352310,Siliconas
12352311,Alumina y otros compuestos de aluminio
12352312,Permanganato potasico
12352401,Mezclas quimicas organicas
12352402,Mezclas quimicas inorganicas
13101607,Compuesto de caucho
13101723,Termoplastico
13102009,Etileno vinil acetato (EVA)
13102026,Poliestireno (PS)
13111034,Compuesto del cloruro de polivinilo
13111037,Resinas varias
13111042,Alcohol de polivinilo
13111059,Resinas plasticas
13111302,Espuma de poliuretano o poliester
13111305,Espuma del neopreno
14111503,Papel pergamino
14111507,Papel para fotocopia o impresora
14111508,Papel para fax
14111509,Articulos de papeleria
14111510,Papeles especiales
14111511,Papel de hilo
14111512,Papel con raya y cuadriculado
14111514,Bloques para mensajes
14111515,Papel para calculadoras o cajas registradoras
14111516,Papel de recambio para cuadernos
14111518,Fichas
